Time,Sensor Data
11:9:45:am,88
11:9:45:am,88
11:9:45:am,87
11:9:45:am,88
11:9:45:am,87
11:9:45:am,88
11:9:46:am,88
11:9:46:am,88
11:9:47:am,88
11:9:47:am,88
11:9:48:am,88
11:9:48:am,88
11:9:49:am,88
11:9:49:am,87
11:9:50:am,88
11:9:50:am,88
11:9:51:am,88
11:9:51:am,88
11:9:52:am,87
11:9:52:am,82
11:9:53:am,82
11:9:53:am,37
11:9:54:am,27
11:9:54:am,80
11:9:55:am,84
11:9:55:am,87
11:9:56:am,88
11:9:56:am,88
11:9:57:am,87
11:9:57:am,87
11:9:58:am,87
11:9:58:am,87
11:9:59:am,35
11:9:59:am,31
11:10:0:am,26
11:10:0:am,87
11:10:1:am,87
11:10:1:am,87
11:10:2:am,87
11:10:2:am,88
11:10:3:am,87
11:10:3:am,87
11:10:4:am,87
11:10:4:am,87
11:10:5:am,87
11:10:5:am,88
11:10:6:am,88
11:10:6:am,88
11:10:7:am,89
11:10:7:am,87
11:10:8:am,69
11:10:8:am,77
11:10:9:am,78
11:10:9:am,77
11:10:10:am,74
11:10:10:am,87
11:10:11:am,87
11:10:11:am,86
11:10:12:am,87
11:10:12:am,86
11:10:13:am,85
11:10:13:am,86
11:10:14:am,91
11:10:14:am,90
11:10:15:am,86
11:10:15:am,90
11:10:16:am,90
11:10:16:am,90
11:10:17:am,88
11:10:17:am,88
11:10:18:am,90
11:10:18:am,93
11:10:19:am,93
11:10:19:am,93
11:10:20:am,92
11:10:20:am,92
11:10:21:am,92
11:10:21:am,91
11:10:22:am,90
11:10:22:am,92
11:10:23:am,92
11:10:23:am,93
11:10:24:am,93
11:10:24:am,93
11:10:25:am,94
11:10:25:am,95
11:10:26:am,87
11:10:26:am,85
11:10:27:am,87
11:10:27:am,93
11:10:28:am,94
11:10:28:am,94
11:10:29:am,94
11:10:29:am,94
11:10:30:am,94
11:10:30:am,89
11:10:31:am,87
11:10:31:am,87
11:10:32:am,87
11:10:32:am,86
11:10:33:am,86
11:10:33:am,87
11:10:34:am,86
11:10:34:am,87
11:10:35:am,87
11:10:35:am,87
